,havingIP,haveAtSign,countDot,prefixSuffix,redirection,httpDomain,tinyURL,getLength,getSlash,numDigit,numfragments,numsubdomain,domainExt,URL_Shannon_Entropy,Domain_Shannon_Entropy,Path_Shannon_Entropy,Query_Shannon_Entropy,QandP_Shannon_Entropy,Susp_ext,space preset,digitToLetter_ratio,Sp_Character,susp_words,domainAge,domainCountry,num_Imag,iframe,Mouse_Over,Label
5780,0,0,2,0,0,0,0,23,0,0,0,0,fr,3.5883543471732335,3.0306390622295662,0.0,0.0,-0.0,1,0,0.0,5,1,0,None,0.0,0,0,1
5781,0,0,3,0,0,0,0,61,3,3,0,4,edu,4.186153068302042,3.323074189428569,3.620936064750772,0.0,3.711080496244278,0,0,0.06382978723404255,11,1,0,None,0.0,0,0,1
5782,0,0,4,0,0,0,0,55,4,0,0,4,html,4.362466985937246,3.4104172527605203,4.0022680844408445,0.0,4.077819531114783,1,0,0.0,11,0,0,None,0.0,0,0,1
5783,0,0,2,0,0,0,1,27,0,0,0,0,com,3.708048150071232,3.3086949695628416,0.0,0.0,-0.0,0,0,0.0,5,0,0,None,41.0,1,0,1
5784,0,0,4,0,0,0,0,68,2,0,0,2,htm,4.1791596295906634,3.2866294867861967,4.046381112945883,0.0,4.111629289283939,1,0,0.0,9,0,0,None,,0,1,1
5785,0,0,4,0,0,0,0,46,4,8,0,4,stm,4.370963042825407,3.182005814760214,4.083856189774724,0.0,4.161978179679553,1,0,0.3076923076923077,12,0,0,None,23.0,0,0,1
5786,0,0,2,1,0,0,0,34,0,0,0,1,com,3.9764499732851237,3.6612262562697886,-0.0,0.0,1.0,0,0,0.0,7,1,0,None,,0,1,1
5787,0,0,2,0,0,0,0,27,1,1,0,1,nl,3.9302703722934544,2.8150724101159437,2.5216406363433186,0.0,2.75,0,0,0.05263157894736842,7,0,0,None,0.0,0,0,1
5788,0,0,2,0,0,0,0,30,0,0,0,0,com,3.8817276788697366,3.5342190211803413,0.0,0.0,-0.0,0,0,0.0,5,0,0,None,,0,1,1
5789,0,0,2,0,0,0,0,51,2,0,0,3,com,4.169892195244229,3.219528282299548,3.6060152796207334,0.0,3.6995138503199656,0,0,0.0,9,0,0,None,88.0,0,0,1
